lower tier team,higher tier team,lower tier,higher tier,low_score,time_sec,oddsB lower tier,oddsB higher tier
,,,,-20,660,,
,,,,-20,720,,
,,,,-20,780,,
,,,,-20,840,,
,,,,-20,900,,
,,,,-20,960,,
,,,,-20,1020,,
,,,,-20,1080,,
,,,,-20,1140,,
,,,,-20,1200,,
,,,,-20,1260,,
,,,,-20,1320,,
,,,,-20,1380,,
,,,,-20,1440,,
,,,,-20,1500,,
,,,,-20,1560,,
,,,,-20,1620,,
,,,,-20,1680,,
,,,,-20,1740,,
,,,,-20,1800,,
,,,,-20,1860,,
,,,,-20,1920,,
,,,,-20,1980,,
,,,,-20,2040,,
,,,,-20,2100,,
,,,,-20,2160,,
,,,,-20,2220,,
,,,,-20,2280,,
,,,,-20,2340,,
,,,,-20,2400,,
,,,,-20,2460,,
,,,,-20,2520,,
,,,,-20,2580,,
,,,,-20,2640,,
,,,,-20,2700,,
,,,,-19,660,,
,,,,-19,720,,
,,,,-19,780,,
,,,,-19,840,,
,,,,-19,900,,
,,,,-19,960,,
,,,,-19,1020,,
,,,,-19,1080,,
,,,,-19,1140,,
,,,,-19,1200,,
,,,,-19,1260,,
,,,,-19,1320,,
,,,,-19,1380,,
,,,,-19,1440,,
,,,,-19,1500,,
,,,,-19,1560,,
,,,,-19,1620,,
,,,,-19,1680,,
,,,,-19,1740,,
,,,,-19,1800,,
,,,,-19,1860,,
,,,,-19,1920,,
,,,,-19,1980,,
,,,,-19,2040,,
,,,,-19,2100,,
,,,,-19,2160,,
,,,,-19,2220,,
,,,,-19,2280,,
,,,,-19,2340,,
,,,,-19,2400,,
,,,,-19,2460,,
,,,,-19,2520,,
,,,,-19,2580,,
,,,,-19,2640,,
,,,,-19,2700,,
,,,,-18,660,,
,,,,-18,720,,
,,,,-18,780,,
,,,,-18,840,,
,,,,-18,900,,
,,,,-18,960,,
,,,,-18,1020,,
,,,,-18,1080,,
,,,,-18,1140,,
,,,,-18,1200,,
,,,,-18,1260,,
,,,,-18,1320,,
,,,,-18,1380,,
,,,,-18,1440,,
,,,,-18,1500,,
,,,,-18,1560,,
,,,,-18,1620,,
,,,,-18,1680,,
,,,,-18,1740,,
,,,,-18,1800,,
,,,,-18,1860,,
,,,,-18,1920,,
,,,,-18,1980,,
,,,,-18,2040,,
,,,,-18,2100,,
,,,,-18,2160,,
,,,,-18,2220,,
,,,,-18,2280,,
,,,,-18,2340,,
,,,,-18,2400,,
,,,,-18,2460,,
,,,,-18,2520,,
,,,,-18,2580,,
,,,,-18,2640,,
,,,,-18,2700,,
,,,,-17,660,,
,,,,-17,720,,
,,,,-17,780,,
,,,,-17,840,,
,,,,-17,900,,
,,,,-17,960,,
,,,,-17,1020,,
,,,,-17,1080,,
,,,,-17,1140,,
,,,,-17,1200,,
,,,,-17,1260,,
,,,,-17,1320,,
,,,,-17,1380,,
,,,,-17,1440,,
,,,,-17,1500,,
,,,,-17,1560,,
,,,,-17,1620,,
