lower tier team,higher tier team,lower tier,higher tier,timeB,low_score,high_score,time_sec,oddsB lower tier,oddsB higher tier
Houston Rockets,Toronto Raptors,2,5,11,-20,20,660,5.596451109,0.083450761
Houston Rockets,Toronto Raptors,2,5,12,-20,20,720,5.649083535,0.082043952
Houston Rockets,Toronto Raptors,2,5,13,-20,20,780,5.702562613,0.080640791
Houston Rockets,Toronto Raptors,2,5,14,-20,20,840,5.756908939,0.079241264
Houston Rockets,Toronto Raptors,2,5,15,-20,20,900,5.812143782,0.077845358
Houston Rockets,Toronto Raptors,2,5,16,-20,20,960,5.868289109,0.076453058
Houston Rockets,Toronto Raptors,2,5,17,-20,20,1020,5.925367622,0.075064351
Houston Rockets,Toronto Raptors,2,5,18,-20,20,1080,5.983402779,0.073679221
Houston Rockets,Toronto Raptors,2,5,19,-20,20,1140,6.042418836,0.072297657
Houston Rockets,Toronto Raptors,2,5,20,-20,20,1200,6.102440872,0.070919643
Houston Rockets,Toronto Raptors,2,5,21,-20,20,1260,6.16349483,0.069545167
Houston Rockets,Toronto Raptors,2,5,22,-20,20,1320,6.225607553,0.068174214
Houston Rockets,Toronto Raptors,2,5,23,-20,20,1380,6.288806822,0.066806772
Houston Rockets,Toronto Raptors,2,5,24,-20,20,1440,6.3531214,0.065442826
Houston Rockets,Toronto Raptors,2,5,25,-20,20,1500,6.418581073,0.064082363
Houston Rockets,Toronto Raptors,2,5,26,-20,20,1560,6.485216697,0.06272537
Houston Rockets,Toronto Raptors,2,5,27,-20,20,1620,6.553060248,0.061371834
Houston Rockets,Toronto Raptors,2,5,28,-20,20,1680,6.622144872,0.060021742
Houston Rockets,Toronto Raptors,2,5,29,-20,20,1740,6.692504936,0.058675079
Houston Rockets,Toronto Raptors,2,5,30,-20,20,1800,6.764176092,0.057331834
Houston Rockets,Toronto Raptors,2,5,31,-20,20,1860,6.837195329,0.055991993
Houston Rockets,Toronto Raptors,2,5,32,-20,20,1920,6.911601044,0.054655544
Houston Rockets,Toronto Raptors,2,5,33,-20,20,1980,6.987433105,0.053322473
Houston Rockets,Toronto Raptors,2,5,34,-20,20,2040,7.064732923,0.051992768
Houston Rockets,Toronto Raptors,2,5,35,-20,20,2100,7.143543527,0.050666416
Houston Rockets,Toronto Raptors,2,5,36,-20,20,2160,7.223909647,0.049343404
Houston Rockets,Toronto Raptors,2,5,37,-20,20,2220,7.305877793,0.04802372
Houston Rockets,Toronto Raptors,2,5,38,-20,20,2280,7.389496351,0.046707351
Houston Rockets,Toronto Raptors,2,5,39,-20,20,2340,7.474815673,0.045394285
Houston Rockets,Toronto Raptors,2,5,40,-20,20,2400,7.561888182,0.044084509
Houston Rockets,Toronto Raptors,2,5,41,-20,20,2460,7.650768477,0.042778011
Houston Rockets,Toronto Raptors,2,5,42,-20,20,2520,7.741513447,0.041474778
Houston Rockets,Toronto Raptors,2,5,43,-20,20,2580,7.834182396,0.040174799
Houston Rockets,Toronto Raptors,2,5,44,-20,20,2640,7.928837168,0.038878062
Houston Rockets,Toronto Raptors,2,5,45,-20,20,2700,8.025542285,0.037584553
Houston Rockets,Toronto Raptors,2,5,11,-19,19,660,5.061095846,0.099654088
Houston Rockets,Toronto Raptors,2,5,12,-19,19,720,5.105503093,0.098204913
Houston Rockets,Toronto Raptors,2,5,13,-19,19,780,5.150565852,0.096759553
Houston Rockets,Toronto Raptors,2,5,14,-19,19,840,5.196298744,0.095317993
Houston Rockets,Toronto Raptors,2,5,15,-19,19,900,5.24271683,0.093880217
Houston Rockets,Toronto Raptors,2,5,16,-19,19,960,5.289835626,0.09244621
Houston Rockets,Toronto Raptors,2,5,17,-19,19,1020,5.337671117,0.091015959
Houston Rockets,Toronto Raptors,2,5,18,-19,19,1080,5.386239782,0.089589447
Houston Rockets,Toronto Raptors,2,5,19,-19,19,1140,5.435558606,0.088166661
Houston Rockets,Toronto Raptors,2,5,20,-19,19,1200,5.485645105,0.086747586
Houston Rockets,Toronto Raptors,2,5,21,-19,19,1260,5.536517344,0.085332208
Houston Rockets,Toronto Raptors,2,5,22,-19,19,1320,5.588193956,0.083920511
Houston Rockets,Toronto Raptors,2,5,23,-19,19,1380,5.640694174,0.082512482
Houston Rockets,Toronto Raptors,2,5,24,-19,19,1440,5.694037844,0.081108107
Houston Rockets,Toronto Raptors,2,5,25,-19,19,1500,5.748245456,0.07970737
Houston Rockets,Toronto Raptors,2,5,26,-19,19,1560,5.803338171,0.078310259
Houston Rockets,Toronto Raptors,2,5,27,-19,19,1620,5.859337845,0.076916758
Houston Rockets,Toronto Raptors,2,5,28,-19,19,1680,5.91626706,0.075526855
Houston Rockets,Toronto Raptors,2,5,29,-19,19,1740,5.974149154,0.074140534
Houston Rockets,Toronto Raptors,2,5,30,-19,19,1800,6.033008252,0.072757783
Houston Rockets,Toronto Raptors,2,5,31,-19,19,1860,6.092869302,0.071378588
Houston Rockets,Toronto Raptors,2,5,32,-19,19,1920,6.153758108,0.070002934
Houston Rockets,Toronto Raptors,2,5,33,-19,19,1980,6.215701366,0.068630808
Houston Rockets,Toronto Raptors,2,5,34,-19,19,2040,6.278726708,0.067262197
Houston Rockets,Toronto Raptors,2,5,35,-19,19,2100,6.342862737,0.065897087
Houston Rockets,Toronto Raptors,2,5,36,-19,19,2160,6.408139075,0.064535465
Houston Rockets,Toronto Raptors,2,5,37,-19,19,2220,6.474586406,0.063177317
Houston Rockets,Toronto Raptors,2,5,38,-19,19,2280,6.542236525,0.06182263
Houston Rockets,Toronto Raptors,2,5,39,-19,19,2340,6.611122387,0.060471391
Houston Rockets,Toronto Raptors,2,5,40,-19,19,2400,6.681278165,0.059123586
Houston Rockets,Toronto Raptors,2,5,41,-19,19,2460,6.752739301,0.057779204
Houston Rockets,Toronto Raptors,2,5,42,-19,19,2520,6.825542571,0.05643823
Houston Rockets,Toronto Raptors,2,5,43,-19,19,2580,6.899726143,0.055100651
Houston Rockets,Toronto Raptors,2,5,44,-19,19,2640,6.975329647,0.053766456
Houston Rockets,Toronto Raptors,2,5,45,-19,19,2700,7.052394245,0.05243563
Houston Rockets,Toronto Raptors,2,5,11,-18,18,660,4.606114402,0.116349423
Houston Rockets,Toronto Raptors,2,5,12,-18,18,720,4.644084059,0.114855941
Houston Rockets,Toronto Raptors,2,5,13,-18,18,780,4.682571553,0.113366449
Houston Rockets,Toronto Raptors,2,5,14,-18,18,840,4.72158755,0.111880932
Houston Rockets,Toronto Raptors,2,5,15,-18,18,900,4.761143011,0.110399374
Houston Rockets,Toronto Raptors,2,5,16,-18,18,960,4.801249202,0.108921758
Houston Rockets,Toronto Raptors,2,5,17,-18,18,1020,4.841917707,0.10744807
Houston Rockets,Toronto Raptors,2,5,18,-18,18,1080,4.883160434,0.105978294
Houston Rockets,Toronto Raptors,2,5,19,-18,18,1140,4.924989631,0.104512414
Houston Rockets,Toronto Raptors,2,5,20,-18,18,1200,4.967417898,0.103050415
Houston Rockets,Toronto Raptors,2,5,21,-18,18,1260,5.010458197,0.101592281
Houston Rockets,Toronto Raptors,2,5,22,-18,18,1320,5.054123867,0.100137996
Houston Rockets,Toronto Raptors,2,5,23,-18,18,1380,5.098428638,0.098687547
Houston Rockets,Toronto Raptors,2,5,24,-18,18,1440,5.143386644,0.097240917
Houston Rockets,Toronto Raptors,2,5,25,-18,18,1500,5.18901244,0.095798091
Houston Rockets,Toronto Raptors,2,5,26,-18,18,1560,5.235321015,0.094359056
Houston Rockets,Toronto Raptors,2,5,27,-18,18,1620,5.282327812,0.092923794
Houston Rockets,Toronto Raptors,2,5,28,-18,18,1680,5.330048741,0.091492293
Houston Rockets,Toronto Raptors,2,5,29,-18,18,1740,5.378500202,0.090064536
Houston Rockets,Toronto Raptors,2,5,30,-18,18,1800,5.427699098,0.08864051
Houston Rockets,Toronto Raptors,2,5,31,-18,18,1860,5.477662859,0.0872202
Houston Rockets,Toronto Raptors,2,5,32,-18,18,1920,5.528409462,0.085803591
Houston Rockets,Toronto Raptors,2,5,33,-18,18,1980,5.57995745,0.084390669
Houston Rockets,Toronto Raptors,2,5,34,-18,18,2040,5.632325957,0.082981419
Houston Rockets,Toronto Raptors,2,5,35,-18,18,2100,5.685534731,0.081575827
Houston Rockets,Toronto Raptors,2,5,36,-18,18,2160,5.739604161,0.080173879
Houston Rockets,Toronto Raptors,2,5,37,-18,18,2220,5.794555296,0.078775561
Houston Rockets,Toronto Raptors,2,5,38,-18,18,2280,5.850409883,0.077380858
Houston Rockets,Toronto Raptors,2,5,39,-18,18,2340,5.907190385,0.075989757
Houston Rockets,Toronto Raptors,2,5,40,-18,18,2400,5.96492002,0.074602244
Houston Rockets,Toronto Raptors,2,5,41,-18,18,2460,6.023622785,0.073218305
Houston Rockets,Toronto Raptors,2,5,42,-18,18,2520,6.083323495,0.071837925
Houston Rockets,Toronto Raptors,2,5,43,-18,18,2580,6.144047817,0.070461092
Houston Rockets,Toronto Raptors,2,5,44,-18,18,2640,6.205822304,0.069087792
Houston Rockets,Toronto Raptors,2,5,45,-18,18,2700,6.268674436,0.067718011
Houston Rockets,Toronto Raptors,2,5,11,-17,17,660,4.214670607,0.133559523
